t,shot,target,marker_x,marker_y,error_x,error_y,pid_yaw_out,pid_pitch_out,gimbal_yaw,gimbal_pitch,kp_yaw,ki_yaw,kd_yaw,kp_pitch,ki_pitch,kd_pitch
0.026046276092529297,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.062386851747034,8.29002357425213,-16.6,-11.9,100.0,1.0,0.0,100.0,1.0,0.0
0.04894852638244629,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.064211932072638,8.291900184640886,-16.6,-11.9,100.0,1.0,0.0,100.0,1.0,0.0
0.08130598068237305,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.0667904976058,8.29455155444622,-16.6,-11.9,100.0,1.0,0.0,100.0,1.0,0.0
0.10609269142150879,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.068765750584602,8.296582577524186,-16.8,-11.7,100.0,1.0,0.0,100.0,1.0,0.0
0.13214612007141113,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.070841948313712,8.29871739546776,-17.2,-11.4,100.0,1.0,0.0,100.0,1.0,0.0
0.16523385047912598,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.073478709549903,8.301428604097367,-17.2,-11.4,100.0,1.0,0.0,100.0,1.0,0.0
0.18999481201171875,1,left,0.42031,0.41806,-0.07968999999999998,-0.08194000000000001,-8.075451910574435,8.303457517285349,-17.7,-10.9,100.0,1.0,0.0,100.0,1.0,0.0
0.21399855613708496,1,left,0.42344,0.42361,-0.07656000000000002,-0.07639000000000001,-7.7642896372246755,7.750291163299085,-17.9,-10.8,100.0,1.0,0.0,100.0,1.0,0.0
0.2488231658935547,1,left,0.42344,0.42361,-0.07656000000000002,-0.07639000000000001,-7.766955809347631,7.752951415238382,-18.1,-10.6,100.0,1.0,0.0,100.0,1.0,0.0
0.27364206314086914,1,left,0.42656,0.42917,-0.07344,-0.07083,-7.456778509161473,7.198709337730408,-18.4,-10.3,100.0,1.0,0.0,100.0,1.0,0.0
